role,split,slice_id,model_id,model_type,file_path
final_calibration,test_in_dist,f3_045_xl_0234,f3_045,f3,slices/slice_f3_045_xl_0234.h5
final_calibration,test_in_dist,salt_canopy_002_il_0496,salt_canopy_002,salt_canopy,slices/slice_salt_canopy_002_il_0496.h5
final_calibration,test_in_dist,seam_011_xl_0579,seam_011,seam,slices/slice_seam_011_xl_0579.h5
final_calibration,test_in_dist,salt_canopy_003_xl_0722,salt_canopy_003,salt_canopy,slices/slice_salt_canopy_003_xl_0722.h5
final_calibration,test_in_dist,f3_046_xl_0351,f3_046,f3,slices/slice_f3_046_xl_0351.h5
final_calibration,test_in_dist,gom_143_xl_0464,gom_143,gom,slices/slice_gom_143_xl_0464.h5
final_calibration,test_in_dist,seam_004_il_0156,seam_004,seam,slices/slice_seam_004_il_0156.h5
final_calibration,test_in_dist,seam_000_xl_0482,seam_000,seam,slices/slice_seam_000_xl_0482.h5
final_calibration,test_in_dist,fault_003_xl_0861,fault_003,fault,slices/slice_fault_003_xl_0861.h5
final_calibration,test_in_dist,fault_000_il_0758,fault_000,fault,slices/slice_fault_000_il_0758.h5
final_calibration,test_in_dist,fault_004_xl_0532,fault_004,fault,slices/slice_fault_004_xl_0532.h5
final_calibration,test_in_dist,fault_002_xl_0152,fault_002,fault,slices/slice_fault_002_xl_0152.h5
final_calibration,test_in_dist,seam_003_xl_0458,seam_003,seam,slices/slice_seam_003_xl_0458.h5
final_calibration,test_in_dist,f3_042_xl_0302,f3_042,f3,slices/slice_f3_042_xl_0302.h5
final_calibration,test_in_dist,salt_canopy_001_xl_0157,salt_canopy_001,salt_canopy,slices/slice_salt_canopy_001_xl_0157.h5
final_calibration,test_in_dist,salt_canopy_002_xl_0243,salt_canopy_002,salt_canopy,slices/slice_salt_canopy_002_xl_0243.h5
final_calibration,test_in_dist,f3_045_xl_0290,f3_045,f3,slices/slice_f3_045_xl_0290.h5
final_calibration,test_in_dist,gom_146_xl_0734,gom_146,gom,slices/slice_gom_146_xl_0734.h5
final_calibration,test_in_dist,fault_002_il_0346,fault_002,fault,slices/slice_fault_002_il_0346.h5
final_calibration,test_in_dist,f3_048_il_0885,f3_048,f3,slices/slice_f3_048_il_0885.h5
final_calibration,test_in_dist,gom_144_xl_0392,gom_144,gom,slices/slice_gom_144_xl_0392.h5
final_calibration,test_in_dist,gom_143_il_0356,gom_143,gom,slices/slice_gom_143_il_0356.h5
final_calibration,test_in_dist,salt_canopy_001_xl_0256,salt_canopy_001,salt_canopy,slices/slice_salt_canopy_001_xl_0256.h5
final_calibration,test_in_dist,f3_050_il_0613,f3_050,f3,slices/slice_f3_050_il_0613.h5
final_calibration,test_in_dist,gom_150_il_0764,gom_150,gom,slices/slice_gom_150_il_0764.h5
final_calibration,test_in_dist,seam_001_il_0356,seam_001,seam,slices/slice_seam_001_il_0356.h5
final_calibration,test_in_dist,fault_001_xl_0512,fault_001,fault,slices/slice_fault_001_xl_0512.h5
final_calibration,test_in_dist,salt_canopy_000_il_0522,salt_canopy_000,salt_canopy,slices/slice_salt_canopy_000_il_0522.h5
final_calibration,test_in_dist,fault_003_il_0518,fault_003,fault,slices/slice_fault_003_il_0518.h5
final_calibration,test_in_dist,fault_000_il_0634,fault_000,fault,slices/slice_fault_000_il_0634.h5
final_id_evaluation,test_in_dist,seam_004_xl_0643,seam_004,seam,slices/slice_seam_004_xl_0643.h5
final_id_evaluation,test_in_dist,gom_142_xl_0408,gom_142,gom,slices/slice_gom_142_xl_0408.h5
final_id_evaluation,test_in_dist,salt_canopy_003_xl_0891,salt_canopy_003,salt_canopy,slices/slice_salt_canopy_003_xl_0891.h5
final_id_evaluation,test_in_dist,f3_043_il_0308,f3_043,f3,slices/slice_f3_043_il_0308.h5
final_id_evaluation,test_in_dist,salt_canopy_000_xl_0779,salt_canopy_000,salt_canopy,slices/slice_salt_canopy_000_xl_0779.h5
final_id_evaluation,test_in_dist,salt_canopy_002_il_0466,salt_canopy_002,salt_canopy,slices/slice_salt_canopy_002_il_0466.h5
final_id_evaluation,test_in_dist,seam_007_xl_0764,seam_007,seam,slices/slice_seam_007_xl_0764.h5
final_id_evaluation,test_in_dist,fault_004_il_0881,fault_004,fault,slices/slice_fault_004_il_0881.h5
