slice_id,model_type,pathwise_max_ratio,certificates_scored
f3_045_xl_0234,f3,0.0008920299081695098,300
salt_canopy_002_il_0496,salt_canopy,0.002126646682471782,300
seam_011_xl_0579,seam,0.0026096838048625757,300
salt_canopy_003_xl_0722,salt_canopy,0.001662554087649163,300
f3_046_xl_0351,f3,0.001041943100053315,300
gom_143_xl_0464,gom,0.0016822616184585199,300
seam_004_il_0156,seam,0.00045837567380719723,300
seam_000_xl_0482,seam,0.000977393583835685,300
fault_003_xl_0861,fault,0.0022612546497455953,300
fault_000_il_0758,fault,0.001965313642387915,300
fault_004_xl_0532,fault,0.0016811434159489218,300
fault_002_xl_0152,fault,0.0023556185710747126,300
seam_003_xl_0458,seam,0.0010521051740625367,300
f3_042_xl_0302,f3,0.0012531266403686314,300
salt_canopy_001_xl_0157,salt_canopy,0.003333375489481273,300
salt_canopy_002_xl_0243,salt_canopy,0.00275034780767524,300
f3_045_xl_0290,f3,0.0009611680754852274,300
gom_146_xl_0734,gom,0.005488586222526499,300
fault_002_il_0346,fault,0.002135371987525666,300
f3_048_il_0885,f3,0.001255275456258318,300
gom_144_xl_0392,gom,0.0015054004695675878,300
gom_143_il_0356,gom,0.0009787790081946532,300
salt_canopy_001_xl_0256,salt_canopy,0.004188965544350984,300
f3_050_il_0613,f3,0.0009938355717809073,300
gom_150_il_0764,gom,0.0017356609060095185,300
seam_001_il_0356,seam,0.00191615657384149,300
fault_001_xl_0512,fault,0.0017884970380917086,300
salt_canopy_000_il_0522,salt_canopy,0.006525443251727736,300
fault_003_il_0518,fault,0.0011071899555945537,300
fault_000_il_0634,fault,0.0015169781719646836,300
