split,slice_id,model_type,policy,certified,true_descent,false_certification,true_directional_derivative,cosine_to_exact,exact_blocks,exact_fraction,mode
id,seam_004_xl_0643,seam,neural-only,False,True,False,-15.241858383256695,0.19389258503454918,0,0.0,unverified
id,seam_004_xl_0643,seam,global-fallback,True,True,False,-78.60980542675622,1.0,24,1.0,exact-fallback
id,seam_004_xl_0643,seam,wavecert-selective,True,True,False,-75.75784787749618,0.9637200787639995,18,0.75,selective-repair
id,seam_004_xl_0643,seam,random-1,False,True,False,-26.839386704583436,0.3414254310753986,1,0.041666666666666664,random-repair
id,seam_004_xl_0643,seam,random-2,False,True,False,-25.8603815654125,0.32897144860010646,2,0.08333333333333333,random-repair
id,seam_004_xl_0643,seam,random-4,False,True,False,-42.46702671475143,0.5402255670804272,4,0.16666666666666666,random-repair
id,seam_004_xl_0643,seam,random-8,False,True,False,-56.61291890168022,0.7201763010904365,8,0.3333333333333333,random-repair
id,seam_004_xl_0643,seam,random-12,False,True,False,-72.91677730101193,0.9275786513547762,12,0.5,random-repair
id,seam_004_xl_0643,seam,random-15,False,True,False,-72.01560126018603,0.9161147374583664,15,0.625,random-repair
id,seam_004_xl_0643,seam,random-16,False,True,False,-76.02817843953622,0.9671589698867098,16,0.6666666666666666,random-repair
id,seam_004_xl_0643,seam,random-20,False,True,False,-77.9620819578539,0.9917602713123894,20,0.8333333333333334,random-repair
id,seam_004_xl_0643,seam,exact,True,True,False,-78.60980542675622,1.0,24,1.0,exact
id,gom_142_xl_0408,gom,neural-only,False,True,False,-38.49927166916402,0.2944938290323928,0,0.0,unverified
id,gom_142_xl_0408,gom,global-fallback,True,True,False,-130.7303171535364,1.0,24,1.0,exact-fallback
id,gom_142_xl_0408,gom,wavecert-selective,True,True,False,-121.14235140627328,0.9266584373385829,7,0.2916666666666667,selective-repair
id,gom_142_xl_0408,gom,random-1,False,True,False,-38.054287570830525,0.29108999656244733,1,0.041666666666666664,random-repair
id,gom_142_xl_0408,gom,random-2,False,True,False,-38.69092280908846,0.29595983281864047,2,0.08333333333333333,random-repair
id,gom_142_xl_0408,gom,random-4,False,True,False,-103.03124305617047,0.7881205010400558,4,0.16666666666666666,random-repair
id,gom_142_xl_0408,gom,random-8,False,True,False,-52.38427687932215,0.4007048863638829,8,0.3333333333333333,random-repair
id,gom_142_xl_0408,gom,random-12,False,True,False,-119.66344618608422,0.9153457957693578,12,0.5,random-repair
id,gom_142_xl_0408,gom,random-15,False,True,False,-104.88942604991803,0.8023343653846609,15,0.625,random-repair
id,gom_142_xl_0408,gom,random-16,False,True,False,-128.98988546267597,0.9866868548263651,16,0.6666666666666666,random-repair
id,gom_142_xl_0408,gom,random-20,False,True,False,-130.2118151804484,0.9960338046722632,20,0.8333333333333334,random-repair
id,gom_142_xl_0408,gom,exact,True,True,False,-130.7303171535364,1.0,24,1.0,exact
id,salt_canopy_003_xl_0891,salt_canopy,neural-only,False,True,False,-25.653205490954782,0.5869754850483094,0,0.0,unverified
id,salt_canopy_003_xl_0891,salt_canopy,global-fallback,True,True,False,-43.70404922250454,1.0000000000000002,24,1.0,exact-fallback
id,salt_canopy_003_xl_0891,salt_canopy,wavecert-selective,True,True,False,-40.71811106091609,0.9316782262808981,15,0.625,selective-repair
id,salt_canopy_003_xl_0891,salt_canopy,random-1,False,True,False,-27.224794532341406,0.6229352889874229,1,0.041666666666666664,random-repair
id,salt_canopy_003_xl_0891,salt_canopy,random-2,False,True,False,-27.26814596628042,0.6239272207354014,2,0.08333333333333333,random-repair
id,salt_canopy_003_xl_0891,salt_canopy,random-4,False,True,False,-28.844008047822065,0.6599847968542334,4,0.16666666666666666,random-repair
id,salt_canopy_003_xl_0891,salt_canopy,random-8,False,True,False,-36.386500512944,0.8325658871491363,8,0.3333333333333333,random-repair
id,salt_canopy_003_xl_0891,salt_canopy,random-12,False,True,False,-38.55370836133327,0.8821541492654368,12,0.5,random-repair
id,salt_canopy_003_xl_0891,salt_canopy,random-15,False,True,False,-39.533279836139876,0.9045678956398161,15,0.625,random-repair
id,salt_canopy_003_xl_0891,salt_canopy,random-16,False,True,False,-42.09267777222246,0.9631299277996348,16,0.6666666666666666,random-repair
id,salt_canopy_003_xl_0891,salt_canopy,random-20,False,True,False,-43.2264788827969,0.9890726294656074,20,0.8333333333333334,random-repair
id,salt_canopy_003_xl_0891,salt_canopy,exact,True,True,False,-43.70404922250454,1.0000000000000002,24,1.0,exact
id,f3_043_il_0308,f3,neural-only,False,False,False,7.759002973523555,-0.17306492749192473,0,0.0,unverified
id,f3_043_il_0308,f3,global-fallback,True,True,False,-44.832902229052706,1.0,24,1.0,exact-fallback
id,f3_043_il_0308,f3,wavecert-selective,True,True,False,-44.28098967130787,0.9876895643533158,15,0.625,selective-repair
id,f3_043_il_0308,f3,random-1,False,False,False,7.495605743007843,-0.167189839834873,1,0.041666666666666664,random-repair
id,f3_043_il_0308,f3,random-2,False,False,False,0.8319250061800527,-0.01855612652354564,2,0.08333333333333333,random-repair
id,f3_043_il_0308,f3,random-4,False,True,False,-18.569337655827848,0.414189952748464,4,0.16666666666666666,random-repair
id,f3_043_il_0308,f3,random-8,False,True,False,-25.46072136339643,0.5679025915680588,8,0.3333333333333333,random-repair
id,f3_043_il_0308,f3,random-12,False,True,False,-39.0780974261721,0.8716388072875785,12,0.5,random-repair
id,f3_043_il_0308,f3,random-15,False,True,False,-42.03917246489863,0.9376857257671871,15,0.625,random-repair
id,f3_043_il_0308,f3,random-16,False,True,False,-42.983889718766896,0.9587576886983773,16,0.6666666666666666,random-repair
id,f3_043_il_0308,f3,random-20,False,True,False,-43.66853610364578,0.9740287586233402,20,0.8333333333333334,random-repair
id,f3_043_il_0308,f3,exact,True,True,False,-44.832902229052706,1.0,24,1.0,exact
id,salt_canopy_000_xl_0779,salt_canopy,neural-only,False,True,False,-30.52933643506482,0.6309449794846962,0,0.0,unverified
id,salt_canopy_000_xl_0779,salt_canopy,global-fallback,True,True,False,-48.3866857297108,1.0,24,1.0,exact-fallback
id,salt_canopy_000_xl_0779,salt_canopy,wavecert-selective,True,True,False,-34.56172387720201,0.7142816945608684,5,0.20833333333333334,selective-repair
id,salt_canopy_000_xl_0779,salt_canopy,random-1,False,True,False,-31.22604096230335,0.645343662029939,1,0.041666666666666664,random-repair
id,salt_canopy_000_xl_0779,salt_canopy,random-2,False,True,False,-31.340604269049717,0.6477113238157929,2,0.08333333333333333,random-repair
id,salt_canopy_000_xl_0779,salt_canopy,random-4,False,True,False,-31.087087977986773,0.6424719426257053,4,0.16666666666666666,random-repair
id,salt_canopy_000_xl_0779,salt_canopy,random-8,False,True,False,-33.04223523414571,0.6828786625048148,8,0.3333333333333333,random-repair
id,salt_canopy_000_xl_0779,salt_canopy,random-12,False,True,False,-38.45009520361529,0.7946420512948222,12,0.5,random-repair
id,salt_canopy_000_xl_0779,salt_canopy,random-15,False,True,False,-40.68017689298313,0.840730797728606,15,0.625,random-repair
id,salt_canopy_000_xl_0779,salt_canopy,random-16,False,True,False,-40.66334108785296,0.8403828548001688,16,0.6666666666666666,random-repair
id,salt_canopy_000_xl_0779,salt_canopy,random-20,False,True,False,-43.50817850842718,0.8991766609406753,20,0.8333333333333334,random-repair
id,salt_canopy_000_xl_0779,salt_canopy,exact,True,True,False,-48.3866857297108,1.0,24,1.0,exact
id,salt_canopy_002_il_0466,salt_canopy,neural-only,False,True,False,-63.68944971571924,0.643524776931261,0,0.0,unverified
id,salt_canopy_002_il_0466,salt_canopy,global-fallback,True,True,False,-98.96969316306891,1.0,24,1.0,exact-fallback
id,salt_canopy_002_il_0466,salt_canopy,wavecert-selective,True,True,False,-91.7257377316744,0.9268063262613246,12,0.5,selective-repair
id,salt_canopy_002_il_0466,salt_canopy,random-1,False,True,False,-67.99219685263589,0.6870001783334574,1,0.041666666666666664,random-repair
id,salt_canopy_002_il_0466,salt_canopy,random-2,False,True,False,-69.30853250183551,0.7003005696666987,2,0.08333333333333333,random-repair
id,salt_canopy_002_il_0466,salt_canopy,random-4,False,True,False,-78.22238830701212,0.7903670892272832,4,0.16666666666666666,random-repair
id,salt_canopy_002_il_0466,salt_canopy,random-8,False,True,False,-78.8989236242191,0.7972028719359583,8,0.3333333333333333,random-repair
id,salt_canopy_002_il_0466,salt_canopy,random-12,False,True,False,-88.52757007108735,0.8944917099543144,12,0.5,random-repair
id,salt_canopy_002_il_0466,salt_canopy,random-15,False,True,False,-93.44681887344251,0.9441963078482366,15,0.625,random-repair
id,salt_canopy_002_il_0466,salt_canopy,random-16,False,True,False,-94.32313404852776,0.9530506868715339,16,0.6666666666666666,random-repair
id,salt_canopy_002_il_0466,salt_canopy,random-20,False,True,False,-98.0693477476392,0.9909028169467371,20,0.8333333333333334,random-repair
id,salt_canopy_002_il_0466,salt_canopy,exact,True,True,False,-98.96969316306891,1.0,24,1.0,exact
id,seam_007_xl_0764,seam,neural-only,False,True,False,-1.5403007731024512,0.09658248136370291,0,0.0,unverified
id,seam_007_xl_0764,seam,global-fallback,True,True,False,-15.948034792170066,1.0000000000000002,24,1.0,exact-fallback
id,seam_007_xl_0764,seam,wavecert-selective,True,True,False,-13.387979407725346,0.8394751818762263,19,0.7916666666666666,selective-repair
id,seam_007_xl_0764,seam,random-1,False,True,False,-1.6666245086412423,0.10450344072860297,1,0.041666666666666664,random-repair
id,seam_007_xl_0764,seam,random-2,False,True,False,-2.0901345797511226,0.1310590682168129,2,0.08333333333333333,random-repair
id,seam_007_xl_0764,seam,random-4,False,True,False,-1.7998848066602176,0.11285934788303185,4,0.16666666666666666,random-repair
id,seam_007_xl_0764,seam,random-8,False,True,False,-2.844526245370236,0.17836217956878286,8,0.3333333333333333,random-repair
