split,dataset_split,slice_id,model_type,case_index,wavecert_exact_blocks,wavecert_true_descent,wavecert_cosine_to_exact,random_repeats,random_true_descent_probability,random_cosine_mean,random_cosine_median,random_cosine_p10,random_cosine_p90,wavecert_minus_random_median_cosine,wavecert_beats_random_median,wavecert_beats_random_p90
id,test_id,seam_004_xl_0643,seam,0,18,True,0.9637200787639996,100,1.0,0.9735807129926732,0.9764432931355513,0.9569343918361087,0.9881083284750543,-0.012723214371551772,False,False
id,test_id,gom_142_xl_0408,gom,1,7,True,0.9266584373385828,100,1.0,0.6449581519882736,0.6596775301017762,0.3939713915744596,0.8808519079086705,0.26698090723680656,True,True
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,15,True,0.931678226280898,100,1.0,0.9336087342407257,0.936423721723957,0.8975394451720088,0.9631797445143596,-0.004745495443059022,False,False
id,test_id,f3_043_il_0308,f3,3,15,True,0.9876895643533158,100,1.0,0.9254114803546671,0.9385266744942975,0.8577829126114003,0.9671504029064063,0.04916288985901829,True,True
id,test_id,salt_canopy_000_xl_0779,salt_canopy,4,5,True,0.7142816945608684,100,1.0,0.6906370605403238,0.6930023113138619,0.6623154702708199,0.7188441511601555,0.02127938324700651,True,False
id,test_id,salt_canopy_002_il_0466,salt_canopy,5,12,True,0.9268063262613246,100,1.0,0.9047629659125396,0.9083990898264745,0.8657229691236256,0.9358728986676259,0.018407236434850094,True,False
id,test_id,seam_007_xl_0764,seam,6,19,True,0.8394751818762263,100,1.0,0.6233504427603872,0.6279382995223716,0.4087170665147642,0.8203195208507427,0.2115368823538547,True,True
id,test_id,fault_004_il_0881,fault,7,17,True,0.9712885929990868,100,1.0,0.7451899072313333,0.7631769534303496,0.5623682844628535,0.9065239817282126,0.20811163956873713,True,True
id,test_id,salt_canopy_002_il_0331,salt_canopy,8,12,True,0.9326015614559688,100,1.0,0.9167810690435146,0.9176867909549008,0.8919236225455853,0.9409178152014692,0.014914770501068042,True,False
id,test_id,gom_145_xl_0658,gom,9,15,True,0.9152168024089314,100,1.0,0.6637753549100374,0.6666597543620134,0.4566774971376403,0.846928541147299,0.24855704804691803,True,True
id,test_id,fault_004_xl_0161,fault,10,18,True,0.9585031213685032,100,1.0,0.7084148501812195,0.7283048620838358,0.5172113064241204,0.8684317591372014,0.23019825928466742,True,True
id,test_id,seam_003_xl_0478,seam,11,13,True,0.978387878060038,100,1.0,0.8874336474546425,0.9003172751531066,0.7592859341295515,0.9693996854344215,0.07807060290693146,True,True
id,test_id,salt_canopy_001_xl_0872,salt_canopy,12,13,True,0.917638102249339,100,1.0,0.9142366632729112,0.9161786417647466,0.8939329876051428,0.9311375950778663,0.0014594604845923342,True,False
id,test_id,gom_147_xl_0129,gom,13,19,True,0.9565162255373308,100,1.0,0.8337449852064506,0.838695523477037,0.716314663708354,0.9241618350093239,0.11782070206029382,True,True
id,test_id,f3_043_xl_0491,f3,14,16,True,0.9862112887436868,100,1.0,0.9389007313647195,0.9457163423197266,0.9002971877890201,0.972872932494224,0.04049494642396023,True,True
id,test_id,fault_003_il_0761,fault,15,16,True,0.970515740727587,100,1.0,0.837968630709599,0.8941863341711332,0.6705648155266979,0.9623388581987307,0.0763294065564537,True,True
id,test_id,f3_050_xl_0766,f3,16,8,True,0.991918496399905,100,1.0,0.7363863152264962,0.7419622103757537,0.4321389894823273,0.9052374297698409,0.24995628602415132,True,True
id,test_id,f3_047_il_0782,f3,17,23,True,0.9934757578667855,100,1.0,0.9766893709335176,0.9785450618359924,0.9488403736839113,0.9934757578667855,0.014930696030793111,True,False
id,test_id,f3_051_il_0568,f3,18,22,True,0.9933809456627696,100,1.0,0.9707963427377861,0.9841463896213775,0.9253570787423706,0.9947380714384353,0.009234556041392117,True,False
id,test_id,fault_001_xl_0115,fault,19,16,True,0.9900903526708932,100,1.0,0.8967445555166037,0.9122618765655313,0.7971707908922314,0.9736788416582371,0.07782847610536192,True,True
id,test_id,seam_002_il_0775,seam,20,13,True,0.9240439371115332,100,1.0,0.8441054566262038,0.8531889918326581,0.7793907507280732,0.8949563284297524,0.07085494527887515,True,True
id,test_id,gom_149_xl_0757,gom,21,21,True,0.9790693887089548,100,1.0,0.8960614427786189,0.9155120846274729,0.799663046515689,0.9646793064577297,0.06355730408148186,True,True
id,test_id,seam_005_xl_0121,seam,22,14,True,0.9308465998580128,100,1.0,0.8163978628875977,0.8213697882888114,0.7442538459398642,0.8925380980581628,0.10947681156920142,True,True
id,test_id,gom_149_xl_0254,gom,23,20,True,0.9543513102095192,100,1.0,0.9093322126799456,0.9325217495612226,0.8361689819734587,0.974901063823889,0.021829560648296664,True,False
id,test_id,salt_canopy_000_xl_0363,salt_canopy,24,6,True,0.6666964235050816,100,1.0,0.7061780874597247,0.7058471344436825,0.6823744432528708,0.7303816725348444,-0.0391507109386009,False,False
id,test_id,seam_008_il_0665,seam,25,17,True,0.9669838533718176,100,1.0,0.9520548407775293,0.9562254702433794,0.9299256945684578,0.9712865561859759,0.010758383128438131,True,False
id,test_id,salt_canopy_003_il_0599,salt_canopy,26,14,True,0.9102761244575324,100,1.0,0.9174707011594043,0.921335318335597,0.8921098277898755,0.9415432812557135,-0.011059193878064644,False,False
id,test_id,f3_049_xl_0386,f3,27,18,True,0.995513859322038,100,1.0,0.9641252847769174,0.968182161252237,0.9363235073516454,0.9853902183161443,0.027331698069800958,True,True
id,test_id,f3_048_xl_0442,f3,28,20,True,0.9786098518193436,100,1.0,0.9703972494502082,0.9749124551382589,0.9507386091733468,0.9875532983541188,0.003697396681084708,True,False
id,test_id,seam_002_xl_0298,seam,29,11,True,0.9457731147852292,100,1.0,0.8212035553157072,0.844537616045492,0.6909247777889539,0.9070561393980062,0.10123549873973714,True,True
id,test_id,seam_006_xl_0261,seam,30,17,True,0.9490031592128764,100,1.0,0.8882411813018405,0.8996540989051738,0.8362942770776056,0.9334966126069101,0.049349060307702586,True,True
id,test_id,f3_046_xl_0707,f3,31,18,True,0.9895752430211237,100,1.0,0.8807459913429667,0.8922503173625594,0.7883139284875813,0.9455855514866836,0.09732492565856421,True,True
id,test_id,salt_canopy_002_il_0787,salt_canopy,32,12,True,0.92818846035799,100,1.0,0.9159504720369909,0.9189504120664848,0.8861952606230199,0.9397595240137439,0.009238048291505208,True,False
id,test_id,gom_148_xl_0787,gom,33,17,True,0.9433440117877694,100,1.0,0.8542534963485349,0.863403229382276,0.7553012380766838,0.9123921126611979,0.0799407824054934,True,True
id,test_id,f3_044_il_0593,f3,34,21,True,0.9907853619200784,100,1.0,0.9812554475297556,0.984780691890857,0.9679778451719995,0.9937804349249291,0.006004670029221337,True,False
id,test_id,seam_005_xl_0110,seam,35,14,True,0.9329521880981652,100,1.0,0.8213870723232327,0.8237131983275386,0.7528877938614242,0.8889351923232641,0.10923898977062652,True,True
id,test_id,seam_000_xl_0372,seam,36,9,True,0.987631882169182,100,1.0,0.6438627571982992,0.6663621182110224,0.28423683009436507,0.9174594014057462,0.32126976395815954,True,True
id,test_id,fault_002_xl_0483,fault,37,15,True,0.9559852402391522,100,1.0,0.8882409899168573,0.9053644186077494,0.8005470705711468,0.9538152288946316,0.0506208216314028,True,True
id,test_id,gom_151_xl_0318,gom,38,17,True,0.9859165936897132,100,1.0,0.9331071159223397,0.9365403873188414,0.8967638054430584,0.966168325565837,0.04937620637087181,True,True
id,test_id,fault_001_il_0228,fault,39,17,True,0.994729231046142,100,1.0,0.9175229708402368,0.9332223924587144,0.8408185230255167,0.9802108090710785,0.06150683858742756,True,True
id,test_id,salt_canopy_001_il_0722,salt_canopy,40,13,True,0.9151865711998296,100,1.0,0.9106327159636046,0.913704070089325,0.8846194171392209,0.9307756433891291,0.0014825011105046304,True,False
id,test_id,fault_004_il_0138,fault,41,18,True,0.9604923929118256,100,1.0,0.6989662078074909,0.7141217668201707,0.5074683682534693,0.8577179096683509,0.24637062609165494,True,True
id,test_id,salt_canopy_003_il_0484,salt_canopy,42,16,True,0.9245407204581504,100,1.0,0.9325902245925319,0.9417545548860075,0.9001455009899455,0.9628581708076155,-0.017213834427857067,False,False
id,test_id,seam_006_xl_0683,seam,43,15,True,0.9488078304077454,100,1.0,0.7964760641494054,0.7957529307747341,0.7144841680202438,0.8843750529542885,0.15305489963301133,True,True
id,test_id,fault_000_xl_0652,fault,44,17,True,0.9742660828894808,100,1.0,0.6781116333898524,0.7055773028928831,0.44470848142657105,0.8966832454828682,0.2686887799965977,True,True
ood,test_ood,penobscot_000_il_0101,penobscot,0,21,True,0.960387892477726,100,1.0,0.7225839046626418,0.7328966319181593,0.4996959482549669,0.9573001909238734,0.2274912605595667,True,True
ood,test_ood,penobscot_000_il_0102,penobscot,1,21,True,0.95984911678962,100,1.0,0.7317504359509462,0.7207172972802512,0.4881057859571676,0.9755336106704151,0.2391318195093688,True,False
ood,test_ood,penobscot_000_il_0175,penobscot,2,21,True,0.9740032995537607,100,1.0,0.8010854132713398,0.8137218669507085,0.5976800527910273,0.9790254964284723,0.16028143260305228,True,False
ood,test_ood,penobscot_000_il_0177,penobscot,3,21,True,0.9740466158491372,100,1.0,0.8051974728066962,0.8067187368858171,0.6045495430922563,0.9749631205551634,0.16732787896332013,True,False
ood,test_ood,penobscot_000_il_0180,penobscot,4,21,True,0.97257759672813,100,1.0,0.7919468356594851,0.8008790577757781,0.5762386719487473,0.9792546142889874,0.171698538952352,True,False
ood,test_ood,penobscot_000_il_0206,penobscot,5,21,True,0.975951149475812,100,1.0,0.8075219379946083,0.8140679998779716,0.6018647793863617,0.9791238872569548,0.16188314959784034,True,False
ood,test_ood,penobscot_000_il_0234,penobscot,6,21,True,0.9764557980909904,100,1.0,0.8256290164906506,0.8256394893978649,0.6933612294953486,0.982740606198712,0.15081630869312546,True,False
ood,test_ood,penobscot_000_il_0294,penobscot,7,21,True,0.982433215893062,100,1.0,0.8526548614672617,0.8714105783058388,0.6674094963512958,0.9850149456855017,0.1110226375872232,True,False
ood,test_ood,penobscot_000_il_0303,penobscot,8,21,True,0.9832501147456884,100,1.0,0.8548875988634288,0.8654597299975452,0.737326526409848,0.9867890321879685,0.11779038474814318,True,False
ood,test_ood,penobscot_000_il_0315,penobscot,9,22,True,0.9910603689533088,100,1.0,0.9076430409213572,0.9227556496632265,0.80060651546713,0.9927806959927975,0.0683047192900823,True,False
ood,test_ood,penobscot_000_il_0332,penobscot,10,22,True,0.9918115785349124,100,1.0,0.9045932920779552,0.9160973338011198,0.7823635344193637,0.9921865819995406,0.07571424473379262,True,False
ood,test_ood,penobscot_000_il_0342,penobscot,11,21,True,0.986222052327421,100,1.0,0.8495013287649439,0.8386874572168899,0.7177971387936926,0.9815942065674403,0.14753459511053113,True,True
ood,test_ood,penobscot_000_il_0392,penobscot,12,21,True,0.9875544376089987,100,1.0,0.8652499538692092,0.8914576147771575,0.7458989733322522,0.97068422869633,0.09609682283184129,True,True
ood,test_ood,penobscot_000_il_0438,penobscot,13,21,True,0.9878793380784482,100,1.0,0.8751819901738205,0.8685785436846782,0.7795194411493787,0.9865219625270215,0.11930079439376995,True,True
ood,test_ood,penobscot_000_il_0467,penobscot,14,21,True,0.9881117581472312,100,1.0,0.8742599513650334,0.8780367589804188,0.765206371219901,0.9881867518741926,0.1100749991668124,True,False
ood,test_ood,penobscot_000_il_0477,penobscot,15,21,True,0.9880912815465528,100,1.0,0.8985592731726555,0.9239150443349247,0.7961873792001104,0.9885798428318182,0.06417623721162813,True,False
ood,test_ood,penobscot_000_il_0506,penobscot,16,21,True,0.9857056660392922,100,1.0,0.8576393483812919,0.8674798262329733,0.721776106439672,0.9862659903527322,0.11822583980631896,True,False
ood,test_ood,penobscot_000_il_0526,penobscot,17,21,True,0.9867498099308856,100,1.0,0.8786492132703259,0.8990569698315597,0.7419428045253796,0.9874601216221591,0.08769284009932587,True,False
ood,test_ood,penobscot_000_il_0605,penobscot,18,20,True,0.9472551013725512,100,1.0,0.7112653036847238,0.7175752562473061,0.4717926333248592,0.9367751347461081,0.22967984512524509,True,True
ood,test_ood,penobscot_000_il_0624,penobscot,19,20,True,0.93812971874386,100,1.0,0.6503423174755452,0.6613925989244676,0.4447769465141394,0.9143335037984734,0.2767371198193924,True,True
ood,test_ood,penobscot_000_il_0645,penobscot,20,20,True,0.9309180193159372,100,1.0,0.6403973428446085,0.6335594266024009,0.4181421956351822,0.8967634030194208,0.29735859271353626,True,True
ood,test_ood,penobscot_000_il_0648,penobscot,21,21,True,0.9525419886941956,100,1.0,0.7297400887501305,0.712370901272655,0.5456307730190422,0.9623216919956502,0.24017108742154059,True,False
ood,test_ood,penobscot_000_il_0681,penobscot,22,21,True,0.9311724393473396,100,1.0,0.6261210713127554,0.6054199679501269,0.34980441872504997,0.935865120604094,0.32575247139721275,True,False
ood,test_ood,penobscot_000_il_0775,penobscot,23,22,True,0.936270674100048,100,1.0,0.6613534140110869,0.6011492707108574,0.4188775546374715,0.9587536832024327,0.3351214033891906,True,False
ood,test_ood,penobscot_000_il_0899,penobscot,24,22,True,0.9700501559609442,100,1.0,0.7729182574275597,0.7399627440483578,0.5264061091582881,0.9761428539977671,0.23008741191258641,True,False
ood,test_ood,penobscot_000_xl_0100,penobscot,25,20,True,0.887932805287879,100,1.0,0.609510492342391,0.610549396426441,0.41384956052231336,0.8296031519947131,0.277383408861438,True,True
ood,test_ood,penobscot_000_xl_0112,penobscot,26,20,True,0.8974183198344456,100,1.0,0.5806147940402462,0.5818428111617384,0.3420078360220631,0.875787237646472,0.31557550867270723,True,True
ood,test_ood,penobscot_000_xl_0132,penobscot,27,20,True,0.9006174372594127,100,1.0,0.6375582267850931,0.6429179110780026,0.4023677453391338,0.9276843331996685,0.2576995261814101,True,False
ood,test_ood,penobscot_000_xl_0233,penobscot,28,20,True,0.9588491718365568,100,1.0,0.7658997135163491,0.7801359354768838,0.5681335600032668,0.9465288264866669,0.17871323635967307,True,True
ood,test_ood,penobscot_000_xl_0244,penobscot,29,20,True,0.9633549827134265,100,1.0,0.781638622625601,0.7927557189127958,0.6229566554910807,0.9287907125421596,0.17059926380063062,True,True
ood,test_ood,penobscot_000_xl_0260,penobscot,30,20,True,0.9623149286225848,100,1.0,0.7743943024286246,0.7835570655464608,0.5791296195995738,0.9588404176692322,0.17875786307612407,True,True
ood,test_ood,penobscot_000_xl_0278,penobscot,31,20,True,0.9648589007342468,100,1.0,0.7792781375846678,0.7963232258370891,0.6125482244208444,0.9579822978835151,0.1685356748971577,True,True
ood,test_ood,penobscot_000_xl_0342,penobscot,32,21,True,0.9853045768624844,100,1.0,0.8645695304886118,0.8736844529154348,0.764420571923916,0.9813775415149495,0.11162012394704957,True,True
ood,test_ood,penobscot_000_xl_0364,penobscot,33,21,True,0.9861369585814936,100,1.0,0.8668813250614069,0.8930671118876219,0.7224993461066833,0.9862199040762243,0.09306984669387175,True,False
ood,test_ood,penobscot_000_xl_0426,penobscot,34,21,True,0.9871194551462544,100,1.0,0.8721137648698715,0.8804638128083047,0.7672477046533627,0.9853686727455895,0.10665564233794977,True,True
ood,test_ood,penobscot_000_xl_0432,penobscot,35,21,True,0.986210897657387,100,1.0,0.8409691434483852,0.8486379140860802,0.7194883759597398,0.979979694972486,0.13757298357130676,True,True
ood,test_ood,penobscot_000_xl_0442,penobscot,36,21,True,0.9859218214810286,100,1.0,0.8458182758674142,0.8527860278873768,0.6781468513504065,0.9862631558442542,0.1331357935936518,True,False
ood,test_ood,penobscot_000_xl_0448,penobscot,37,21,True,0.9870362488455076,100,1.0,0.836032332867359,0.8328238989752226,0.7189468597023044,0.9778254010825662,0.15421234987028498,True,True
ood,test_ood,penobscot_000_xl_0488,penobscot,38,21,True,0.984191288479439,100,1.0,0.8326733935678101,0.8394545325751218,0.6945182971001261,0.9837720082471269,0.14473675590431723,True,True
ood,test_ood,penobscot_000_xl_0510,penobscot,39,22,True,0.990946335321718,100,1.0,0.885254539876016,0.8928571905328515,0.7590834463580229,0.9906513178164691,0.09808914478886654,True,True
ood,test_ood,penobscot_000_xl_0519,penobscot,40,22,True,0.9896864183507128,100,1.0,0.8782131887453046,0.8944784553498171,0.7146291855277956,0.9901420401017246,0.09520796300089573,True,False
ood,test_ood,penobscot_000_xl_0553,penobscot,41,22,True,0.9846049511249318,100,1.0,0.8502141041384441,0.8594921928538575,0.6484815865634704,0.9855313250488786,0.12511275827107438,True,False
ood,test_ood,penobscot_000_xl_0603,penobscot,42,22,True,0.9795907073010354,100,1.0,0.8418883664113521,0.9206724470555705,0.6095738498294897,0.9805025947865227,0.05891826024546487,True,False
ood,test_ood,penobscot_000_xl_0623,penobscot,43,22,True,0.9797167024613712,100,1.0,0.8089421276697483,0.8276095599944602,0.5971725693149648,0.9834316711647205,0.15210714246691104,True,False
ood,test_ood,penobscot_000_xl_0648,penobscot,44,22,True,0.9761184500859268,100,1.0,0.7921887791285707,0.7717037151378556,0.5769293033608511,0.9758798328040268,0.20441473494807116,True,True
ood,test_ood,penobscot_000_xl_0654,penobscot,45,22,True,0.9756373060425128,100,1.0,0.769848944136777,0.7651453466781389,0.5595801383520679,0.9767686821666927,0.21049195936437382,True,False
ood,test_ood,penobscot_000_xl_0690,penobscot,46,22,True,0.9685106845191184,100,1.0,0.7478412789405336,0.728201287675825,0.5217266380214456,0.9745277763473993,0.24030939684329333,True,False
ood,test_ood,penobscot_000_xl_0692,penobscot,47,22,True,0.9700591785155874,100,1.0,0.7649474929486846,0.741368798954354,0.5426699304619228,0.977007755218847,0.2286903795612334,True,False
ood,test_ood,penobscot_000_xl_0707,penobscot,48,22,True,0.9675978983877456,100,1.0,0.7673040924799137,0.7450502752041284,0.5438866321145841,0.9677406915000504,0.2225476231836172,True,False
ood,test_ood,penobscot_000_xl_0738,penobscot,49,22,True,0.9585144755940448,100,1.0,0.7079117930467622,0.6461309418928167,0.4970577016839951,0.9654231344575174,0.31238353370122807,True,False
ood,test_ood,penobscot_000_xl_0749,penobscot,50,22,True,0.9549670944377444,100,1.0,0.713654620179231,0.6384016115011044,0.4906289607825017,0.9614133426095277,0.31656548293664,True,False
ood,test_ood,penobscot_000_xl_0798,penobscot,51,21,True,0.9097660015022652,100,1.0,0.5956326141862031,0.5615423861371818,0.36847587617140587,0.9116472578995067,0.3482236153650834,True,False
ood,test_ood,penobscot_000_xl_0833,penobscot,52,22,True,0.9332318672185907,100,1.0,0.6692917155059837,0.6352241676961037,0.4044529488436455,0.9480979623948087,0.29800769952248707,True,False
