case_id,policy,exact_blocks_used,exact_block_fraction,certified_descent,true_directional_derivative,true_descent,cosine_to_exact_descent_direction,mode
0,neural-only,0,0.0,False,0.09038954080427396,False,-0.1077678679986777,unverified
0,conformal-global,4,1.0,True,-0.8387429619131282,True,1.0,exact-fallback
0,conformal-selective,3,0.75,True,-0.7862716576888447,True,0.937440543042413,selective-repair
0,exact,4,1.0,True,-0.8387429619131282,True,1.0,exact
1,neural-only,0,0.0,False,-0.021575523760936712,True,0.029014210969011873,unverified
1,conformal-global,4,1.0,True,-0.7436191797178312,True,1.0,exact-fallback
1,conformal-selective,3,0.75,True,-0.6493034446074716,True,0.8731666185020295,selective-repair
1,exact,4,1.0,True,-0.7436191797178312,True,1.0,exact
2,neural-only,0,0.0,False,-0.9286396927728593,True,0.4708396533206302,unverified
2,conformal-global,4,1.0,True,-1.9723056166224784,True,1.0,exact-fallback
2,conformal-selective,2,0.5,True,-1.8307330474406562,True,0.9282197606757004,selective-repair
2,exact,4,1.0,True,-1.9723056166224784,True,1.0,exact
3,neural-only,0,0.0,False,-0.2788421469376864,True,0.5261856688558177,unverified
3,conformal-global,4,1.0,True,-0.5299310936081252,True,1.0000000000000002,exact-fallback
3,conformal-selective,3,0.75,True,-0.4844788937555985,True,0.9142299812168829,selective-repair
3,exact,4,1.0,True,-0.5299310936081252,True,1.0000000000000002,exact
4,neural-only,0,0.0,False,-0.08345612541906589,True,0.1598364321332854,unverified
4,conformal-global,4,1.0,True,-0.5221345615965263,True,1.0,exact-fallback
4,conformal-selective,3,0.75,True,-0.42646697362360686,True,0.8167759903110082,selective-repair
4,exact,4,1.0,True,-0.5221345615965263,True,1.0,exact
5,neural-only,0,0.0,False,-1.1858943906456882,True,0.6456769732261585,unverified
5,conformal-global,4,1.0,True,-1.836668240963133,True,1.0,exact-fallback
5,conformal-selective,2,0.5,True,-1.8174528091762183,True,0.9895378863975792,selective-repair
5,exact,4,1.0,True,-1.836668240963133,True,1.0,exact
6,neural-only,0,0.0,False,-1.9786863100676744,True,0.7052756310669677,unverified
6,conformal-global,4,1.0,True,-2.8055503733685554,True,1.0000000000000002,exact-fallback
6,conformal-selective,2,0.5,True,-2.7394001953830367,True,0.9764216751859303,selective-repair
6,exact,4,1.0,True,-2.8055503733685554,True,1.0000000000000002,exact
7,neural-only,0,0.0,False,0.008683415815827792,False,-0.09820975798186721,unverified
7,conformal-global,4,1.0,True,-0.08841703710776926,True,1.0,exact-fallback
7,conformal-selective,4,1.0,True,-0.08841703710776926,True,1.0,exact-fallback
7,exact,4,1.0,True,-0.08841703710776926,True,1.0,exact
8,neural-only,0,0.0,False,-0.21835919247102814,True,0.2568072222662016,unverified
8,conformal-global,4,1.0,True,-0.8502844684199771,True,1.0,exact-fallback
8,conformal-selective,3,0.75,True,-0.7014465892190107,True,0.8249551947273116,selective-repair
8,exact,4,1.0,True,-0.8502844684199771,True,1.0,exact
9,neural-only,0,0.0,False,-0.19324732820170368,True,0.5352390404687359,unverified
9,conformal-global,0,0.0,True,-0.19324732820170368,True,0.5352390404687359,neural
9,conformal-selective,3,0.75,True,-0.23429855249139792,True,0.6489390233008353,selective-repair
9,exact,4,1.0,True,-0.36104864105665246,True,1.0,exact
10,neural-only,0,0.0,False,-0.6414244540491267,True,0.6888495920803502,unverified
10,conformal-global,4,1.0,True,-0.931153130412696,True,1.0,exact-fallback
10,conformal-selective,3,0.75,True,-0.867335403399897,True,0.9314637679577854,selective-repair
10,exact,4,1.0,True,-0.931153130412696,True,1.0,exact
11,neural-only,0,0.0,False,-0.4724581528871332,True,0.6807953025048632,unverified
11,conformal-global,0,0.0,True,-0.4724581528871332,True,0.6807953025048632,neural
11,conformal-selective,2,0.5,True,-0.602715180667398,True,0.8684910213513838,selective-repair
11,exact,4,1.0,True,-0.6939797486099109,True,1.0,exact
12,neural-only,0,0.0,False,-0.057996788846170245,True,0.050535859698802435,unverified
12,conformal-global,4,1.0,True,-1.1476363356997488,True,1.0000000000000002,exact-fallback
12,conformal-selective,3,0.75,True,-1.108914774360012,True,0.9662597286830182,selective-repair
12,exact,4,1.0,True,-1.1476363356997488,True,1.0000000000000002,exact
13,neural-only,0,0.0,False,-0.08138912823966028,True,0.2376316274736521,unverified
13,conformal-global,4,1.0,True,-0.3425012449097689,True,1.0,exact-fallback
13,conformal-selective,3,0.75,True,-0.18484900750121872,True,0.5397031696918847,selective-repair
13,exact,4,1.0,True,-0.3425012449097689,True,1.0,exact
14,neural-only,0,0.0,False,0.0665814411633157,False,-0.11226311873422833,unverified
14,conformal-global,4,1.0,True,-0.5930838365620376,True,1.0,exact-fallback
14,conformal-selective,3,0.75,True,-0.38045515076474834,True,0.6414862913313474,selective-repair
14,exact,4,1.0,True,-0.5930838365620376,True,1.0,exact
15,neural-only,0,0.0,False,-0.5360434911337877,True,0.6850889886044973,unverified
15,conformal-global,0,0.0,True,-0.5360434911337877,True,0.6850889886044973,neural
15,conformal-selective,3,0.75,True,-0.7631277733878652,True,0.9753134644737428,selective-repair
15,exact,4,1.0,True,-0.7824435949929509,True,1.0,exact
16,neural-only,0,0.0,False,-0.24572538259548615,True,0.5254277991927627,unverified
16,conformal-global,4,1.0,True,-0.46766726650741475,True,1.0,exact-fallback
16,conformal-selective,3,0.75,True,-0.43183952999619557,True,0.9233905405037556,selective-repair
16,exact,4,1.0,True,-0.46766726650741475,True,1.0,exact
17,neural-only,0,0.0,False,0.07547912863173371,False,-0.08982752190108116,unverified
17,conformal-global,4,1.0,True,-0.8402672926327858,True,1.0,exact-fallback
17,conformal-selective,3,0.75,True,-0.804693371706168,True,0.9576635658218291,selective-repair
17,exact,4,1.0,True,-0.8402672926327858,True,1.0,exact
18,neural-only,0,0.0,False,-0.8044984551148033,True,0.6013662340112961,unverified
18,conformal-global,4,1.0,True,-1.3377845472775443,True,1.0000000000000002,exact-fallback
18,conformal-selective,2,0.5,True,-1.270931542636204,True,0.9500270766489348,selective-repair
18,exact,4,1.0,True,-1.3377845472775443,True,1.0000000000000002,exact
19,neural-only,0,0.0,False,-0.2828602133231248,True,0.6010436023372402,unverified
19,conformal-global,0,0.0,True,-0.2828602133231248,True,0.6010436023372402,neural
19,conformal-selective,3,0.75,True,-0.44037979803364,True,0.9357535904292064,selective-repair
19,exact,4,1.0,True,-0.47061513045506875,True,1.0,exact
20,neural-only,0,0.0,False,0.060808798385258135,False,-0.3173393052829636,unverified
20,conformal-global,4,1.0,True,-0.1916207585159878,True,1.0,exact-fallback
20,conformal-selective,4,1.0,True,-0.1916207585159878,True,1.0,exact-fallback
20,exact,4,1.0,True,-0.1916207585159878,True,1.0,exact
21,neural-only,0,0.0,False,-0.3055598525279656,True,0.4558565964950394,unverified
21,conformal-global,4,1.0,True,-0.670298192188803,True,1.0,exact-fallback
21,conformal-selective,3,0.75,True,-0.6446757244864315,True,0.9617745236359605,selective-repair
21,exact,4,1.0,True,-0.670298192188803,True,1.0,exact
22,neural-only,0,0.0,False,-0.18242749180194912,True,0.3768568334393793,unverified
22,conformal-global,0,0.0,True,-0.18242749180194912,True,0.3768568334393793,neural
22,conformal-selective,3,0.75,True,-0.4619938880815031,True,0.9543822151529577,selective-repair
22,exact,4,1.0,True,-0.48407638024505717,True,1.0000000000000002,exact
23,neural-only,0,0.0,False,-1.6262264393753492,True,0.6258660323846903,unverified
23,conformal-global,4,1.0,True,-2.5983618781467666,True,1.0,exact-fallback
23,conformal-selective,2,0.5,True,-2.396994552098575,True,0.9225022011976972,selective-repair
23,exact,4,1.0,True,-2.5983618781467666,True,1.0,exact
24,neural-only,0,0.0,False,-0.23046656502329232,True,0.3637739288595871,unverified
24,conformal-global,4,1.0,True,-0.6335433815881018,True,1.0,exact-fallback
24,conformal-selective,3,0.75,True,-0.537866129100601,True,0.8489807402806943,selective-repair
24,exact,4,1.0,True,-0.6335433815881018,True,1.0,exact
25,neural-only,0,0.0,False,-0.46887100364663326,True,0.5856308223549107,unverified
25,conformal-global,4,1.0,True,-0.8006255575163065,True,1.0,exact-fallback
25,conformal-selective,3,0.75,True,-0.7673925281174121,True,0.9584911709513877,selective-repair
25,exact,4,1.0,True,-0.8006255575163065,True,1.0,exact
26,neural-only,0,0.0,False,-0.8195887405134026,True,0.48871403566958743,unverified
26,conformal-global,4,1.0,True,-1.677031312167009,True,1.0,exact-fallback
26,conformal-selective,3,0.75,True,-1.6268251531456945,True,0.9700624796585106,selective-repair
26,exact,4,1.0,True,-1.677031312167009,True,1.0,exact
27,neural-only,0,0.0,False,0.032062742346923856,False,-0.29324754012230536,unverified
27,conformal-global,0,0.0,True,0.032062742346923856,False,-0.29324754012230536,neural
27,conformal-selective,3,0.75,True,-0.028630584394451583,True,0.26185684166041084,selective-repair
27,exact,4,1.0,True,-0.109336781933623,True,1.0,exact
28,neural-only,0,0.0,False,0.5721874515152892,False,-0.4272728720882002,unverified
28,conformal-global,4,1.0,True,-1.339161666685862,True,1.0,exact-fallback
28,conformal-selective,3,0.75,True,-1.2905205914226137,True,0.9636779662431465,selective-repair
28,exact,4,1.0,True,-1.339161666685862,True,1.0,exact
29,neural-only,0,0.0,False,-0.10037185104600134,True,0.42519427300674173,unverified
29,conformal-global,0,0.0,True,-0.10037185104600134,True,0.42519427300674173,neural
29,conformal-selective,4,1.0,True,-0.23606115467225464,True,1.0,exact-fallback
29,exact,4,1.0,True,-0.23606115467225464,True,1.0,exact
