setting,case_id,receiver_relative_l2,gradient_relative_l2,gradient_cosine,selective_exact_blocks,selective_exact_block_fraction,selective_true_descent,selective_mode,rigorous_exact_blocks,rigorous_exact_block_fraction,rigorous_true_descent,rigorous_mode
penobscot,0,0.38074401334221347,1.4015643171950163,-0.167018874941625,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
penobscot,1,0.7030706917526615,5.679990452730728,0.3149837266710336,2,0.5,True,selective-repair,4,1.0,True,exact-fallback
penobscot,2,0.4086591523344126,3.200118586167058,-0.5407351733651502,2,0.5,False,selective-repair,4,1.0,True,exact-fallback
penobscot,3,0.6292202602612169,7.054790568793539,0.2802197396902832,2,0.5,True,selective-repair,4,1.0,True,exact-fallback
penobscot,4,0.4141145648503399,2.5274816759967864,-0.5283767367211046,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
f3,0,0.48188433851521295,9.892564327047776,-0.4510126029835706,2,0.5,False,selective-repair,4,1.0,True,exact-fallback
f3,1,0.4821796260467575,3.2961575096216142,0.3467949861011823,0,0.0,True,neural,4,1.0,True,exact-fallback
f3,2,0.5263281188476099,2.005298640686716,-0.17904426169182544,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
f3,3,0.6620916089821781,4.839680389225502,0.09848240030224133,2,0.5,True,selective-repair,4,1.0,True,exact-fallback
f3,4,0.709452362417507,10.097048658104999,-0.10254789786654506,1,0.25,False,selective-repair,4,1.0,True,exact-fallback
gom,0,0.5001390677200394,1.0819159428932332,0.13228036644882948,2,0.5,True,selective-repair,4,1.0,True,exact-fallback
gom,1,0.5594896832448732,1.6337081819309638,-0.39000152074420646,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
gom,2,0.7682515557245851,5.793593791401831,-0.314021973223271,2,0.5,False,selective-repair,4,1.0,True,exact-fallback
gom,3,0.3732369700318228,1.9209459576972068,-0.607128247513949,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
gom,4,0.13616808773668637,0.7382723837625886,0.6878782733885608,2,0.5,True,selective-repair,4,1.0,True,exact-fallback
fault,0,0.39634681570355645,2.4421219747496767,0.08419986159266389,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
fault,1,0.15450186224627185,0.9860544376334789,0.7196994443811341,1,0.25,True,selective-repair,4,1.0,True,exact-fallback
fault,2,0.14798624282046907,0.8216500703908658,0.6025323608878957,2,0.5,True,selective-repair,4,1.0,True,exact-fallback
fault,3,0.2717655816038984,1.8682908691096154,-0.5661395365761634,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
fault,4,0.5871816959371708,3.0796362069595165,-0.21650704729333442,1,0.25,False,selective-repair,4,1.0,True,exact-fallback
salt_canopy,0,0.40784475186558583,1.2884220490826868,-0.10238234131015242,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
salt_canopy,1,0.40264174042552203,8.092240616154355,0.4590712070956248,0,0.0,True,neural,4,1.0,True,exact-fallback
salt_canopy,2,0.5329302528334209,2.0692619104757632,0.2203693851182473,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
salt_canopy,3,0.5979637645699777,6.829787035138814,-0.2593941797569721,1,0.25,False,selective-repair,4,1.0,True,exact-fallback
salt_canopy,4,0.5906704321063035,1.61141259484571,0.18776140360590243,2,0.5,True,selective-repair,4,1.0,True,exact-fallback
seam,0,0.49178319690715194,1.279349129515746,-0.39139772811672136,2,0.5,True,selective-repair,4,1.0,True,exact-fallback
seam,1,0.42928168567186736,2.1246589861645995,-0.6133699775601699,3,0.75,True,selective-repair,4,1.0,True,exact-fallback
seam,2,0.8455455346201738,0.9807517140339382,0.21881995622314948,1,0.25,True,selective-repair,4,1.0,True,exact-fallback
seam,3,0.4734570102079174,3.832228495946687,-0.13519144835696695,4,1.0,True,exact-fallback,4,1.0,True,exact-fallback
seam,4,0.557906436667611,1.63118535823801,0.6193773665913257,2,0.5,True,selective-repair,4,1.0,True,exact-fallback
